Sentiment,Student Reviews & Comments,Challenges & Issues,Source,Language,Sentiment Target Class,
Negative,"I never accept because some student have good internet and some don'nt have the internet at that time
 what will they do..??",#Internet Issue,Facebook,English,1,
Negative,"The sitting authority must not be kidding with students future. They must take backward areas students and
 middle class students in to consideration!",,Facebook,English,1,
Negative,If online class arrange so we will not pay fee rather we will get education from internet no need to go universityor college,#Semester Fee relaxation Issue,Facebook,English,1,
Negative, Not agree we don't take online classes due to internet problem.,#Internet Issue,Facebook,English,1,
Negative,Promote students like ICP. Don't confuse and waste time of the students.. Most of the students can't afford internet or do not have access to net... Its not USA or UK ..,"#Internet Issue
#Internet Data Package Issue",Facebook,English,1,
Negative,"sorry to say that university is recipient of many such students who are from the slums and don't have high
 speed internet. How can they manage in the pandemic outbreak of corona. it's really a matter of very great 
concern. should be given thought.",#Poor Internet Connectivity Issue,Facebook,English,1,
Negative,"Many students are from tribe area having no facility of internet , many areas Don't have Network to communicate with someone easily then internet is far away . About 50% students having no leptops
Provide net facility to kp-merged areas and then we can take online classes else we can't","#Internet Issue
#Laptop Availability Issue",Facebook,English,1,
Neutral,"What is the need of Online classes ? What's the need of face to face classes in uni? Even though if a lot of
 materials and lectures are available on Google ? Don't play with the future of students by starting online classes",,Facebook,English,2,
Neutral, If university provides us laptops and internet then we had no issue,"#Internet Issue
#Laptop Availability Issue",Facebook,English,2,
,"70%  student have no laptop etc to take the online class so please sir give the resource of internet etc then
 take classses online","#Internet Issue
#Laptop Availability Issue",Facebook,English,,
Negative,"70%  student have no laptop etc to take the online class so please sir give the resource of internet etc then
 take classses online",,Facebook,,1,
Positive,We have poor internet connectivity in our area. How can we take online classes?,"#Poor Internet Connectivity
 Issue",Facebook,English,3,
Negative," let us go for online education system and show the world that Pakistan is developed enough to manage the
 pandemic.",,Facebook,English,1,
Negative,"and what about Tribal students having no facility of internet from past 70 years
some of them dont know how to On leptops ,how to communicate
we can manage it coz we r from CS everyone can't handle it","#Internet Issue
#Laptop Availability Issue",Facebook,English,1,
Positive,"Bro we have many difficulties with online classes we can't afford it personaly. No light No Network
No other entertainment facility like other cities","#Internet Issue Issue
#Loadshedding Issue",Facebook,English,3,
Negative,"let the student decide. this was just my view about online education. But i know that one day we will have to
 adopt the technology so why not just now.",,Facebook,English,1,
Positive,"This is a very bad decision because most of the students have not available internet especially in remote areas
 so these student will not get benefit from this online classes",#Internet Issue,Facebook,English,3,
Negative," I think it?s a good idea, we shouldn?t waste our time and take benefit from this opportunity.",,Facebook,English,1,
Negative,"Not all students have internet access.Majority of students will not be able to get benefit from this step. 
Teacher should provide study material to students.",#Internet Issue,Facebook,English,1,
Negative,"I not agree your bad decision For student... I thing universty provide laptop and best connecction i join your
 clasess","#Laptop Availability Issue
#Internet Issue",Facebook,English,1,
Neutral,Not a good decision as net is not available to every student,#Internet Issue,Facebook,English,2,
Positive,"Offcourse online classes is a good step for quality education but first of all ensure the availablity of internet facilities. Ex fata has still no approache to online classes because of no internet signals.
Therefore all the students of ex fata is not in the fever of online classes.",#Internet Issue,Facebook,English,3,
Negative,ÿGood Decision,,Facebook,English,1,
Negative," Its not possible for all students because many students belongs to tribal areas .so please cancel online
 classes beyond 1st june",,Facebook,English,1,
Negative, It's very difficult for every student to take online classes.,,Facebook,English,1,
Negative,Not possible for Our tribal area fellows,,Facebook,English,1,
Negative,Majority students not available Internet Especially FATA students,#Internet Issue,Facebook,English,1,
Negative,Abi tak yaha net itna fast nai he. It's not good idea.,"#Poor Internet Connectivity 
Issue",Facebook,Mix(English+Roman Urdu),1,
Negative, Poor connection is main issue.,"#Poor Internet Connectivity 
Issue",Facebook,English,1,
Negative,We have poor internet connectivity. How can we participate in online classes.,"#Poor Internet Connectivity 
Issue",Facebook,English,1,
Negative,"Reject online clases
",,Facebook,English,1,
Negative," Sorry in chitral We don,t have access to high speed internet.","#Poor Internet Connectivity 
Issue",Facebook,English,1,
Negative,"Not in favor of online classes... at home there is so much distraction & other house chores, secondly some of
 students(hostels ones) are from the rural areas like orakzai where there is no internet facilities......there are so 
many students who even don?t have internet facilities at there own home..","#Proper Enviorement Issue
#Internet Issue",Facebook,English,1,
Negative,"Sir, please raise the issues of tribal students when you get together for the cause of online classes, as there is
 no facility of 3g and 4g across the tribal belt and its peripheries, hence they would'nt be able to catch the 
online classes, so far.",#Internet Issue,Facebook,English,1,
Negative,"Pls give us internet connection also bcz we r not having that facility in our village its not some kinda joke. 
Provide us devices n all the facilities then we will think about it.. and ya also provide us one house or room
 where we can take all our clases wid full comfort.","#Internet Issue
#Internet Device Issue
#Proper Enviorement Issue",Facebook,English,1,
Negative,"There is no such digital system in Peshawar university and specially in our poor political science department
 to initiate online classes. Worst educational system",,Facebook,English,1,
Negative,Not in the favour of online classes.,,Facebook,English,1,
Negative,Meaningless..,,Facebook,English,1,
Negative,"We don't have enough money to subscribe mb package every week if you give money or Government give us
 free mb than we're ready to take online classes",#Internet Data Package Issue,Facebook,English,1,
Negative,"ÿLife is at risk. Pls. Do not give more tension to students.Stop online drama.decrease fee.May Allah give to all of us 
healthy life.Death ratio increases now a days.",#Semester Fee relaxation Issue,Facebook,English,1,
Negative,"This dicission is good upto some extent ....but their is many students which are unable to take the online classes 
so think about them",,Facebook,English,1,
Negative," Don't know that ustb have online classes facilities.So don't destroy future of students.It's totally flaps coz 
every student have no access to internet,laptop ,Android phone as well as heavy data packages.Mostly
 Ex-FATA students even have no mobile signal .","#Internet Issue
#Laptop Availability Issue
#Internet Data Package Issue",Facebook,English,1,
Negative,Very difficult for backward areas students. Plz take down this decision.,,Facebook,English,1,
Negative,"You will never hold the bridle of disparities. The post will spur the insurgency in the social milieu. Internet is 
not available to everyone.You have to revive your policy",#Internet Issue,Facebook,English,1,
Negative, I m not agree this decision BCS there are not facilities in my areas not available 3g.4g net connection ,#Internet Issue,Facebook,English,1,
Negative,"I am not agree in Thes desion of hec
",,Facebook,English,1,
Negative,Fazol bat a online classes,,Facebook,Mix(English+Roman Urdu),1,
Negative,But sorry in my village there is no facility of MOBILE phone ,,Facebook,English,1,
Positive,"We are not agree with you
",,Facebook,English,3,
Negative,"Good steps
",,Facebook,English,1,
Positive,"We don't have that quality internet service through which we can take online classes or give online exams.
 So i think the decision should be reviewed.",#Poor Internet Connectivity Issue,Facebook,English,3,
Positive," Great idea
",,Facebook,English,3,
Positive,Good,,Facebook,English,3,
Positive,"We want online classes bohat time waste hogaya aghar ye classes may say start howai tai ab tak ham nay zyada
 tar course complet kar liya hota...",,Facebook,Mix(English+Roman Urdu),3,
Positive,"Sir hamari online classes shro Karen already hamara bahot time waste ho chuka hai...aur bhi university online 
classes li rahi hai unho ne tu survey nahi ki....aur ab tu HEC bhi keh rahi hai ki online classes ly.",,Facebook,Mix(English+Roman Urdu),3,
Positive,Good idea sir.,,Facebook,English,3,
Positive,Agree,,Facebook,English,3,
Negative,I am ready for online exam bcz its easy then solving paper .,,Facebook,English,1,
Negative,Surely that will never happened its ustb not oxford,,Facebook,English,1,
Positive,ÿWe are from fata and net is not available,#Internet Issue,Facebook,English,3,
Positive,It's all about final year students unka buhat time waste horaha hai. So for our Senior fellows we are ready to attend online classes.,,Facebook,Mix(English+Roman Urdu),3,
Negative,ÿPlz favor online classes,,Facebook,English,1,
Negative,But we have not so much data (GB) to attend online class,#Internet Data Package Issue,Facebook,English,1,
Negative, impossible for our uni student. becuase Networking problem.,#Internet Issue,Facebook,English,1,
Negative," what about the students who have no mob,laptop and Internet facilities.","#Internet Issue
#Laptop Availability Issue",Facebook,English,1,
Negative,They are destroy,,Facebook,English,1,
Positive,The most worst online classes.. which have not specific timings.... Which depends on teacher mood,#Online Classes Timing Issue,Facebook,English,3,
Negative,"Hamary online classes bht achy jarahy hai or ik time table ke mutabiq he classes hoty hai or sirf din mai three
 classes hoty hai",,Facebook,Mix(English+Roman Urdu),1,
Negative,"My opinion for all of u that u must install Pakistan Portal in ur cellphone and must registered a complaint in
 this regards.",,Facebook,English,1,
Negative," Esy online classes Hy k bs sirf connect hojy kafi hay ...net ka buht issue hota ya to teachers khud ko dhoka daty
 Hy ya hamy ...jab teachers ka mood bany msg Kary or class ayeee....baqi course hamny karna Hy jitna course 
content Hy itna hamy assignmnt milty Hy bat khatam","#Internet Issue
#Online Classes Timing Issue",Facebook,Mix(English+Roman Urdu),1,
Positive,"qk benezir uni k teachrs sa Allah he bacha le..bat bat pe insult deti ha...& ye b nai socHti h ye high level k 
studnts ha ab.. sb ko malum ha jbi to uni pe time pe class nai leti.. online ka kya hogaa pata nai",,Facebook,Mix(English+Roman Urdu),3,
Negative,I m proud to say that our uni teachers is one the most best and competitent teachers,,Facebook,English,1,
Negative,"ap ka konsa department Hy ...Mera tol Dil karta Hy apny sary assignmnt har jagha uplaod Karo or kaho ye Hy
 ab hm books b likangy hahahahaha . And bghir lab k reaserch karangy",#Lab Issue,Facebook,Mix(English+Roman Urdu),1,
Positive,"Chemistry HOD is out of screen. Poor management poor faculty. Its not a university just a kingdom for
 teachers.. when they have mood of class, they took their class otherwise message CR about no class.
 I hope the vc should take a positive step in this regards and and secure the future of the students.",#Online Classes Timing Issue,Facebook,English,3,
Negative,"Exam bhi es bar uni ke online hongy
",,Facebook,Mix(English+Roman Urdu),1,
Positive," Online Classes are not the solution. Online exam is not viable in Pakistan.
72% students doesn't have any laptop.
65% student doesn't have any proper internet accessibility
11% student can fulfills the criteria for attending the online classes with no lags.
HEC should work for alternative","#Examinations Issue
#Laptop Availability Issue
#Poor Internet Connectivity
",Facebook,English,3,
Negative, I think university will give laptop to evry one,#Laptop availability issue,Facebook,English,1,
Positive,"In todays meeting of chairman HEC with university officials it is decided to start online classes from 1st june, for this
1. All students should have laptop
2. Internet facility and packages
3. Basic skills and information about use of different software to attend online classes.
I think without providing all these facilities online classes will negatively effect the educational quality and
 universities ranking among HEC st…nding.
It will leads towards discrimination between those who have and have not.
Students from poor families and rural area's
Those who cant afford all these feels burden even at this point of time when poor and lower and middle class 
families are under huge financial crisis.
HEC should ensure to provide laptop and internet facility to poor and needy students.
Otherwise it may not works according to its spirit.","#Laptop Availability Issue
#Internet Issue",Facebook,English,3,
Negative,Stay at home,,Facebook,English,1,
Negative, Itna behuda mazaq,,Facebook,Roman urdu,1,
Negative,Tu phir yaha pai 4g be lagwa dy bahi  hamry yaha 3g kam nhi krta tum online classes ke bath kr rhy hu,#Internet Issue,Facebook,Mix(English+Roman Urdu),1,
Negative,Kuch perha he nahi to online test kya ho ga hahahhaha,,Facebook,Mix(English+Roman Urdu),1,
Negative, Not  agree.,,Facebook,English,1,
Negative,what about those who don't have laptop or package,"#Laptop Availability Issue
#Internet Data Package Issue",Facebook,English,1,
Negative,i don't have laptop bhai mjy kasy milega?? I'm needy person,#Laptop Availability Issue,Facebook,Mix(English+Roman Urdu),1,
Negative,First time worst decision taken by HEC in history of education,,Facebook,English,1,
Negative,Jin k ps laptop ni h wo kya kry gy ,#Laptop Availability Issue,Facebook,Mix(English+Roman Urdu),1,
Negative,"This is discrimination. We are suffering alot Because of this pandemic, we do close our fasts with water and open
 it with Dates... How can we manage internet packages, smart phones or laptops for online classes, these things 
are far expensive thn the budget of the one's who can't afford... My Rich fellows will attend the online classes
 and will get the top GPA instead i will be left depressed here in my village without any sources to attend the
 classes and appear for exames. We poors have no right to live  if this happens, i am gonna jump to kabul river.","#Internet Data Package Issue
#Laptop Availability Issue
",Facebook,English,1,
Negative, I am online from net cafe. My village have no 3g and 4g services,#Internet Issue,Facebook,English,1,
Negative,"All universities should raise Internet connectivity issues facing Students specially in remote areas of AJK to
 HEC to deal with Cellular operaters to open BW with jazz 4G for streaming",#Poor Internet Connectivity Issue,Facebook,English,1,
Positive,"what a pity for those who don't have an internet connection, some don't even have smartphones, some are suffering from panic and due to some other technical & challenging issues, online classes are not an option. So, in such circumstances, every Pakistani student is supporting semester break while the administration is acting selfishly.Note: these things are to understand not to react aggressively...and plz don't mind if this hurts..","#Internet Issue
#Technical Issue",Facebook,English,3,
Positive," Administration is trying to save your future. And trying to save your time so you don't waste it. The purpose of
 online lecturing is to engage students in their studies related to their courses.",,Facebook,English,3,
Positive,It's better instead of sitting idle at home,,Facebook,English,3,
Negative,We will conduct Make up classes as well for such courses,,Facebook,English,1,
Negative,"Aoa sir due to lock down some people facing the Internet problem and on video call how we understand properly
 we are from Cs department and our core subjects are programming how we understand from online source it's
 very difficult for us and some of our frnds are from gilgit quetta nad azad kashmir they don't have 3G and 4G how
 they take classes sir kindly find some solution our future our grades all are in your hands if we can't understand
 from this technique then our result will be bad plz do something we are facing so much difficulties from this
 technique plz think and find some solution it's not about one or 2 students we are in thousands and our grades 
are in your hands",#Internet Issue,Facebook,English,1,
Negative, Online classes are not effective it will effect grades. specialy for accounting and stats class,,Facebook,English,1,
Negative,"Respected Sir,it's very difficult for us to understand the lectures online like maths and programming .kindly do
 favour This is wasting our time and will badly affect our grades.",,Facebook,English,1,
Positive,"Its not a good discussion... If we can't understanding single words during presentation then i think this process is 
useless
",,Facebook,English,3,
Negative,Good step,,Facebook,English,1,
Negative,"What about those student who live in villages that don't have any internet facility
I.e Azad Kashmir Gilgit and other areas",#Internet Issue,Facebook,English,1,
Negative,"it is very difficult to take online classess.. There's some internet issues we didn't understand single word during 
lecture.",#Internet Issue,Facebook,English,1,
Positive,Internet is not working due to lock down properly we couldn't get anything while taking lecture,#Poor Internet Connectivity,Facebook,English,3,
Positive,"Mobile or computer is with everyone. For internet use 3g 4g which is available throughout Pakistan. If you're still
 facing any issues then ask your faculty to provide you the recorded lecture. Thank you!",,Facebook,English,3,
Positive,"Let's hope the outbreak stops before 5th April so we can start working normally. Otherwise you will be guided
 accordingly.",,Facebook,English,3,
Negative, You'll have to wait for that until the university gets opened.,,Facebook,English,1,
Negative, but it is not good 4 students future bcz it is effectied our grades?,,Facebook,English,1,
Negative,Ary bhai saab fzool hy sub they are making fun only.... Inny pesy online classes k lie ni die?,,Facebook,Mix(English+Roman Urdu),1,
Negative,Am facing a problem when i take online classes ,,Facebook,English,1,
Negative,Yes same here.i don't have fast internet to take online clases.,#Poor Internet Connectivity,Facebook,English,1,
Neutral,lockdown ki waja sai shopes band hai package nahi karwa saktay net ka,#Internet Data Package Issue,Facebook,Mix(English+Roman Urdu),2,
Positive,What if a person don?t have internet or device where he take online classes??,"#Internet Issue
#Internet Data Package Issue",Facebook,English,3,
Negative,"Usama Ramzan Mobile or computer is with everyone. For internet use 3g 4g which is available throughout 
Pakistan.",,Facebook,English,1,
Negative,Internet service is very bad i cant attend lacture properly,#Poor Internet Connectivity,Facebook,English,1,
Negative,"Internet very Bad Condition in our village or City
",#Poor Internet Connectivity,Facebook,English,1,
Negative,Azadkashmir aur gilgit k student jo hain un ka kia in areas main ma 3G hai na 4g na 2G sirf city areas main hai,#Internet Issue,Facebook,Mix(English+Roman Urdu),1,
Negative," Paper bhi online laina.... Okay? Flop strategy by HEC !!! .... It's better for us to leave online classes take our fee
 back and learn things online through YouTube as private.....",,Facebook,Mix(English+Roman Urdu),1,
Negative,Too much internet issues,#internet Issue,Facebook,English,1,
Negative," I belong to small village near hills,for video call internet is very slow",#Poor Internet Connectivity,Facebook,English,1,
Negative,"Online teaching is not going good many issues are genrated during lecture sound quality is too baad we cant clear our 
concepts during the whole lecture teacher faces problems and lecture duration remain only 20 to 25 mins signal dropping issue meetingÿis canceled automaticaly and again joining takes time and we wait for teacher access for again joining toomuch distortion bad communication i cant make notes things are missed during lecture due to all issues","#Poor Internet Connectivity Issue
#Online Classes Sound Quality Issue
",Facebook,English,1,
Negative,"It's not effective. Theoretical courses ki outline bj dain taky hm khud kr lain Prepare. Or accounting, stats ki classes jb uni open ho tb lagwayen. Because mostly students suffering from internet issue. So ..",#Internet Issue,Facebook,Mix(English+Roman Urdu),1,
Negative,Mary Goun 2G nai Ata 3g kahan say laao?,#Internet Issue,Facebook,Roman  urdu,1,
Negative,Koi fyda nahi ha iska koi faida nhi ha time zaya krny Wali bt Hai teachers ka b or bachoo ka b koi maqsad hi ni ha,,Facebook,Mix(Roman Urdu+English),1,
Negative,Please take action against online classes in universities because we belong to rural areas where internet speed become very slow therefore we don't get properly educations .Plz stops online classes system,#Poor Internet Connectivity,Facebook,English,1,
Negative,"Yes you are right, there are so many challenges regarding taking online classes and also need proper facilities and understanding to take online classes",,Facebook,English,1,
Negative,"yes it's true that karak are not so much facilitate we are not able to get any online lecture because here at karak
 light problem as well as Internet problem also this way I requested to the KKKuk to stop this online process..","#Loadshedding Issue
#Internet Issue",Facebook,English,1,
Negative,"Joke of the Century  Our department requested VC many times to provide us the facility of internet but no such
 step was taken but today they are all set to initiate online classes just in few days . Is it not s joke???",#Internet Issue,Facebook,English,1,
Negative,"The decision is totally based on the views of those sitting on high positions, Students, the primary stakeholders
 of the university is not even consulted about the decision, i mean how can you people just do it? Do the students
 have resources to take online classess?? In Karak we dont have internet facility, nor everyone have a smartphone or access to a laptop? Even the top ranked university of Pakistan, Quaid-i-Azam University, is struggling to start online classess and now they are taking consent of every individual student in order to start online classess and you people just announced to start classess? Wow, a big Wow...","#Internet Issue
#Proper Resources Issue",Facebook,English,1,
Negative,"Not all of students are computer literates, Even i don't know how to login to zoom",#Computer Literacy Issue,Facebook,English,1,
Positive,It is very difficult for students,,Facebook,English,3,
Positive,I really appreciate this special step of KKKU,,Facebook,English,3,
Negative,"Sir karak main net sgnal bahot achy our sath sath bajli hoti hain .
Is leye zoom per classes lena achi bat hain?",,Facebook,Mix(Roman Urdu+English),1,
Negative,First u poeples provide the Android mobiles or Laptop to All the students and also u people's know the big issue in karak is No light and also the problem of internet signals then take the online classes.Thanks,"#Laptop Availability Issue
#Internet Issue
#Loadshedding Issue",Facebook,English,1,
Negative,I have no cell phone what I will do,,Facebook,English,1,
Negative,"What about the peoples who are from very backward areas where there is no internet networks even there is
 not plenty of electricity how they will take this online classes","#Loadshedding Issue
#Internet Issue",Facebook,English,1,
Negative,"Govt announced lockdown due to which universities started online education system,which is completely flop 
and fail.Online lectures, assignments and quizzes are not going effective.It will affect our grades .We have paid
 heavy fees for quality and good education. We know that situation is not fruitful for opening educational
 institutions but our grades and our understanding of lectures is also important.",,Facebook,English,1,
Negative,Dear sir net package is unavailable now due to lock down please make lecture vedio and upload it if anyone found net then they will see it otherwise due to lockdown the current package is finished or not enough data to see online lecture,#Internet Data Package Issue,Facebook,English,1,
Positive,"Govt announces lockdown and Universities has started online education system,which is completely flop and
 fail.Online assignments, projects and quizes are not going effective.It will effect our grade and transcripts.",,Facebook,English,3,
Positive,Why dont they make lecture videos and share it with students,,Facebook,English,3,
Positive,First ever great initiative taken by the Worthy Vice Chancellor Gomal university D.I.Khan prof dr Iftikhar Ahmed (TI).,,Facebook,English,3,
Positive,A great example has been set by Gomal university to be the pioneer of online education in the era of CoVid19,,Facebook,English,3,
Positive,"Outstanding initiative of Worthy Vice Chancellor and wonderful collaborative efforts of Teaching faculty for
 initiation of successful online learning and teaching set in Gomal University.",,Facebook,English,3,
Positive,"Thanks to our worthy Vice Chancellor. This is outcome of sincere and visionary leadership, May ALLAH bless 
Gomal University and may ALLAH help our worthy Vice Chancellor shb to achieve his visionary goals for Gomal
 University and Pakistan as well.",,Facebook,English,3,
Positive,"I am proud to be the student of Dr iftikhar Ahmad
",,Facebook,English,3,
Positive,Excellent Job. Example for other universities.,,Facebook,English,3,
Positive,Really appreciated. Great job possible under dynamic leadership of worthy vice chancellor,,Facebook,English,3,
Positive, It became possible due to the vision and determination of worthy Vice chancellor Dr. Iftikhar Ahmad.,,Facebook,English,3,
Positive,"Sir you always remain the trendsetter.
",,Facebook,English,3,
Negative, Good,,Facebook,English,1,
Negative, teachers do not deliver the lecture when there is no light then how can they deliver lecture in Ramzan,"#Loadshedding Issue
",Facebook,English,1,
Positive,"Never ever see such a chairman who is still saying we are working on policies from very start of day.....
Instead they should minimize mental pressure Depresion they are actually burdening students by so called their
 shity online classes and exams",#Mental Health Issue,Facebook,English,3,
Neutral,"It will be a very wise decision that all students r promoted to next semesters Or evaluate current semester on the
 basis of coming semester. & uni should start new semester whenever situation is better.",,Facebook,English,2,
Neutral,"If HEC or Govt. is thinking about to reopening of educational institutes then get ready for big disaster...
Lives does matter please think again because everything is going well just need to resolve and improve internet
 issues in all over Pakistan.",#Internet Issue,Facebook,English,2,
Neutral,"Complete our degree on time. I have no concern with the reopening of universities. In normal circumstances, last 
semester of our university is completed in July. Please don't take any bad decision just go ahead with online classes 
and complete it on time.",,Facebook,English,2,
Positive, Reopening universities is best decision instead of online classes.,,Facebook,English,3,
Neutral,"The chairmen of all the VC's of Pakistani universities and their team have unanimously decided that all the
 universities will start appropriate classes in the first week of September 20. So, dear students, please be 
steadfast and steadfast in the continuation of your online classes till September.",,Facebook,English,2,
Positive,"Corona is on its peak and now you are going to open universities. You better know that no one is going to follow
 SOP's yet you are going to put our life in danger.",,Facebook,English,3,
Neutral,Chairman  Continue with online Education....... We are with you now,,Facebook,English,2,
Negative,"Who is going if they open. Government is saying that corono had reduced which is totally fake. It is increasing day
 by day. If it has reduced why people are dying everyday. Just promote students with good grades and release the
 pressure on the students.",,Facebook,English,1,
Negative,"Issue of Online class, they only take it as a formality rest is on us whether or not we learn. Somehow They just
 complete their 30 minutes, they keep an eye on their own interests not students",,Facebook,English,1,
Neutral,Wrong decision.. there will be unlimited damage...,,Facebook,English,2,
Positive," If universities are opened hostels will become breeding grounds of the virus ... and then everything will have to 
be shutdown again ... so better not start it at all",,Facebook,English,3,
Negative,The brilliant gentleman committed to doing everything possible to help learning communities.,,Facebook,English,1,
Negative,"online classes should be cancelled rather to put their lives and career in danger and wait till the situation is under
 control somehow",,Facebook,English,1,
Positive,"These people have no policy.They just only need money nothing else.They even don't care students' future.
",,Facebook,English,3,
Neutral,It is idea of hec please open the university we want to study,,Facebook,English,2,
Neutral,"Reopening of university decision is like destroying of more than half population of Pakistan, as mostly are
 students especially hostelized, they have to travel then travel back to home then university  then home again,
 there will be risk of corona for the student as well as for thr family",,Facebook,English,2,
Neutral,Wait for right time to reopen universities I think this is not. Corona is at its peak.,,Facebook,English,2,
Positive,"PLEASE not reopen University's And students will be promoted to the next classes if University's open covid- 19
 increase Day by Day & the future of young generation will be Lost.",,Facebook,English,3,
Positive,"Good decision by hec, we already have wasted so much time, what if this covid19 will stay remain for next 6
 months or more than that and we all know that how online classes ruin our semester.",,Facebook,English,3,
Negative,Chairman Continue with online Education....... We are with you now,,Facebook,English,1,
Negative,Online classes totally fail,,Facebook,English,1,
Negative,Shame on Government,,Facebook,English,1,
